ปี,เดือน,จังหวัด,อำเภอ,อปท.,ขยะมูลฝอยชุมชน(ตัน)
2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,1604.44
2563,มิถุนายน,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,193.67
2563,มิถุนายน,นนทบุรี,บางบัวทอง,อบต.ละหาร,5535.94
2563,มิถุนายน,นนทบุรี,บางบัวทอง,อบต.ลำโพ,647.5
2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,810.47
2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,236.07
2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,735.0
2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,458.2
2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,765.59
2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,1857.46
2563,มิถุนายน,นนทบุรี,บางใหญ่,อบต.บางใหญ่,318.07
2563,มิถุนายน,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,232.68
2563,มิถุนายน,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,10800.39
2563,มิถุนายน,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,442.9
2563,มิถุนายน,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,48.0
2563,มิถุนายน,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,456.94
2563,มิถุนายน,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,276.84
2563,มิถุนายน,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,598.15
2563,มิถุนายน,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,202.07
2563,มิถุนายน,นนทบุรี,ปากเกร็ด,อบต.อ้อมเกร็ด,285.07
2563,มิถุนายน,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,15816.1
2563,มิถุนายน,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองไทรม้า,1035.83
2563,มิถุนายน,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,968.47
2563,มิถุนายน,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,1383.94
2563,มิถุนายน,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,530.62
2563,มิถุนายน,นนทบุรี,เมืองนนทบุรี,อบต.บางรักน้อย,843.38
2563,กรกฎาคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,155.45
2563,กรกฎาคม,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,132.43
2563,กรกฎาคม,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,154.95
2563,กรกฎาคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,232.13
2563,กรกฎาคม,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,751.89
2563,กรกฎาคม,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,145.94
2563,กรกฎาคม,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,649.18
2563,กรกฎาคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,365.0
2563,กรกฎาคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,1624.22
2563,กรกฎาคม,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,463.12
2563,กรกฎาคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,1659.12
2563,กรกฎาคม,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,579.84
2563,กรกฎาคม,นนทบุรี,บางกรวย,อบต.บางขนุน,402.72
2563,กรกฎาคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,1000.0
2563,กรกฎาคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,240.97
