,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะอินทรีย์ลงถัง(ตัน)
231,2563,กันยายน,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,2.5
232,2563,กันยายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,624.7
233,2563,กันยายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,598.52
234,2563,กันยายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,500.09
235,2563,กันยายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,130.0
236,2563,กันยายน,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,3.5
237,2563,กันยายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.75
238,2563,กันยายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,154.49
239,2563,กันยายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,240.81
240,2563,กันยายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,28.0
241,2563,กันยายน,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,2.56
242,2563,กันยายน,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0.3
243,2563,กันยายน,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0.5
244,2563,กันยายน,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,18.0
245,2563,กันยายน,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,288.65
246,2563,กันยายน,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,3.0
247,2563,กันยายน,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,3.0
248,2563,กันยายน,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,15.5
249,2563,กันยายน,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,87.16
250,2563,กันยายน,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,3636.0
251,2563,กันยายน,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,739.13
252,2563,ตุลาคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,33.24
253,2563,ตุลาคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,63.0
254,2563,ตุลาคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,96.43
255,2563,ตุลาคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,595.82
256,2563,ตุลาคม,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,139.43
257,2563,ตุลาคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,923.2
258,2563,ตุลาคม,นนทบุรี,บางกรวย,อบต.บางขนุน,50.48
259,2563,ตุลาคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,30.0
260,2563,ตุลาคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,1.1
261,2563,ตุลาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,549.37
262,2563,ตุลาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,450.24
263,2563,ตุลาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,459.18
264,2563,ตุลาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,250.0
265,2563,ตุลาคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,3.0
266,2563,ตุลาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.6
267,2563,ตุลาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,110.79
268,2563,ตุลาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,237.96
269,2563,ตุลาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,1.23
270,2563,ตุลาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,0.0
271,2563,ตุลาคม,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0.5
