,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะรีไซเคิลลงถัง(ตัน)
211,2563,กรกฎาคม,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,5.0
212,2563,กรกฎาคม,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,36.53
213,2563,กรกฎาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,3547.94
214,2563,กรกฎาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,12.0
215,2563,กรกฎาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,397.98
216,2563,กรกฎาคม,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,2846.0
217,2563,สิงหาคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,6.74
218,2563,สิงหาคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.93
219,2563,สิงหาคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,15.0
220,2563,สิงหาคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,375.0
221,2563,สิงหาคม,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,1.05
222,2563,สิงหาคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,582.68
223,2563,สิงหาคม,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,2.6
224,2563,สิงหาคม,นนทบุรี,บางกรวย,อบต.บางขนุน,113.27
225,2563,สิงหาคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,130.0
226,2563,สิงหาคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,6.53
227,2563,สิงหาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,320.35
228,2563,สิงหาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,288.15
229,2563,สิงหาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,467.74
230,2563,สิงหาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,60.0
231,2563,สิงหาคม,นนทบุรี,บางบัวทอง,อบต.ละหาร,5.07
232,2563,สิงหาคม,นนทบุรี,บางบัวทอง,อบต.ลำโพ,5.0
233,2563,สิงหาคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,3.5
234,2563,สิงหาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,2.55
235,2563,สิงหาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,368.36
236,2563,สิงหาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,122.14
237,2563,สิงหาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,42.32
238,2563,สิงหาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,1.06
239,2563,สิงหาคม,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0.3
240,2563,สิงหาคม,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,2.0
241,2563,สิงหาคม,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,900.0
242,2563,สิงหาคม,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,134.06
243,2563,สิงหาคม,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,5.0
244,2563,สิงหาคม,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,5.0
245,2563,สิงหาคม,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,28.97
246,2563,สิงหาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,3260.0
247,2563,สิงหาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,10.0
248,2563,สิงหาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,388.66
249,2563,กันยายน,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,6.25
250,2563,กันยายน,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.95
251,2563,กันยายน,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,15.0
252,2563,กันยายน,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,292.0
253,2563,กันยายน,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,3.12
254,2563,กันยายน,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,590.72
255,2563,กันยายน,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,2.5
256,2563,กันยายน,นนทบุรี,บางกรวย,อบต.บางขนุน,118.8
257,2563,กันยายน,นนทบุรี,บางกรวย,อบต.บางขุนกอง,170.0
258,2563,กันยายน,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,6.48
259,2563,กันยายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,312.35
260,2563,กันยายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,269.44
261,2563,กันยายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,491.76
262,2563,กันยายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,10.0
263,2563,กันยายน,นนทบุรี,บางบัวทอง,อบต.ละหาร,3.09
264,2563,กันยายน,นนทบุรี,บางบัวทอง,อบต.ลำโพ,5.0
265,2563,กันยายน,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,3.5
266,2563,กันยายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,2.35
267,2563,กันยายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,386.22
268,2563,กันยายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,120.41
269,2563,กันยายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,54.21
270,2563,กันยายน,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,331.1
271,2563,กันยายน,นนทบุรี,บางใหญ่,อบต.บางใหญ่,102.0
